id_steam	nom	date_sortie	genre	lien_image	emotions
695630	Chinese Paladin：Sword and Fairy	11 Oct, 2017	RPG	https://cdn.akamai.steamstatic.com/steam/apps/695630/header.jpg?t=1627366016	
1129580	Medieval Dynasty	23 Sep, 2021	Action, Adventure, Indie, RPG, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/1129580/header.jpg?t=1710529161	
2446550	STAR WARS™: Battlefront Classic Collection	13 Mar, 2024	Action	https://cdn.akamai.steamstatic.com/steam/apps/2446550/header.jpg?t=1710392101	
1832640	Mirror 2: Project X	20 Jan, 2022	Adventure, Indie, RPG, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1832640/header.jpg?t=1673932541	
352550	Urban Empire	20 Jan, 2017	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/352550/header.jpg?t=1660895228	
1364780	Street Fighter™ 6	1 Jun, 2023	Action, Adventure	https://cdn.akamai.steamstatic.com/steam/apps/1364780/header_alt_assets_9.jpg?t=1709012771	
1778820	TEKKEN 8	25 Jan, 2024	Action	https://cdn.akamai.steamstatic.com/steam/apps/1778820/header.jpg?t=1710123236	
268910	Cuphead	29 Sep, 2017	Action, Indie	https://cdn.akamai.steamstatic.com/steam/apps/268910/header.jpg?t=1709068852	
1846380	Need for Speed™ Unbound	1 Dec, 2022	Action, Racing	https://cdn.akamai.steamstatic.com/steam/apps/1846380/header.jpg?t=1710255624	
2635820	Krosfighter	13 Mar, 2024	Action, Casual, Indie	https://cdn.akamai.steamstatic.com/steam/apps/2635820/header.jpg?t=1710318478	
1761390	Hatsune Miku: Project DIVA Mega Mix+	26 May, 2022	Action	https://cdn.akamai.steamstatic.com/steam/apps/1761390/header.jpg?t=1688115385	
774171	Muse Dash	19 Jun, 2019	Action, Casual, Indie	https://cdn.akamai.steamstatic.com/steam/apps/774171/header.jpg?t=1706497719	
307340	Platypus	15 Aug, 2014	Action	https://cdn.akamai.steamstatic.com/steam/apps/307340/header.jpg?t=1595797105	
1563130	SuperPower 3	7 Oct, 2022	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1563130/header.jpg?t=1665161884	
397760	Urban War Defense	7 Jul, 2017	Action, Indie, Strategy, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/397760/header.jpg?t=1688084528	
1372880	The Day Before	7 Dec, 2023	Action, Adventure, Massively Multiplayer, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1372880/header.jpg?t=1702943333	
252050	Construction Machines 2014	28 Mar, 2014	Simulation	https://cdn.akamai.steamstatic.com/steam/apps/252050/header.jpg?t=1558092198	
2562240	Only Up!	3 Oct, 2023	Action, Casual, Indie, Massively Multiplayer, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/2562240/header.jpg?t=1696335776	
369080	Age of Survival	25 Aug, 2015	Action, Adventure, Indie, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/369080/header.jpg?t=1706928360	
